pole,eq_lon90,eq_lon135,eq_lon180
2.64121434391848e-05,1.02817205443822e-05,8.89460741008999e-06,2.64447529195243e-06
2.62902690559531e-05,1.02643943647018e-05,8.83085719036035e-06,2.62659833967997e-06
2.61683946727214e-05,1.02470681850214e-05,8.76710697063071e-06,2.60872138740752e-06
2.60465202894896e-05,1.02297420053411e-05,8.70335675090106e-06,2.59084443513506e-06
2.59246459062579e-05,1.02124158256607e-05,8.63960653117142e-06,2.57296748286261e-06
2.58027715230262e-05,1.01950896459803e-05,8.57585631144178e-06,2.55509053059015e-06
2.56808971397945e-05,1.01777634662999e-05,8.51210609171214e-06,2.5372135783177e-06
2.55590227565628e-05,1.01604372866196e-05,8.4483558719825e-06,2.51933662604525e-06
2.54371483733311e-05,1.01431111069392e-05,8.38460565225287e-06,2.50145967377279e-06
2.53148923747588e-05,1.0134545792947e-05,8.33582628560675e-06,2.50157109596885e-06
2.51926363761864e-05,1.01259804789547e-05,8.28704691896062e-06,2.50168251816491e-06
2.50703803776141e-05,1.01174151649625e-05,8.2382675523145e-06,2.50179394036097e-06
2.49481243790418e-05,1.01088498509702e-05,8.18948818566838e-06,2.50190536255703e-06
2.48258683804694e-05,1.0100284536978e-05,8.14070881902226e-06,2.50201678475309e-06
2.47036123818971e-05,1.00917192229858e-05,8.09192945237614e-06,2.50212820694915e-06
2.45813563833248e-05,1.00831539089935e-05,8.04315008573002e-06,2.50223962914521e-06
2.44591003847524e-05,1.00745885950013e-05,7.9943707190839e-06,2.50235105134127e-06
2.43368443861801e-05,1.0066023281009e-05,7.94559135243778e-06,2.50246247353733e-06
2.42145883876078e-05,1.00574579670168e-05,7.89681198579165e-06,2.50257389573339e-06
2.40984937268477e-05,1.00567084398952e-05,7.86146567978156e-06,2.51622951993501e-06
2.39823990660876e-05,1.00559589127735e-05,7.82611937377147e-06,2.52988514413662e-06
2.38663044053275e-05,1.00552093856519e-05,7.79077306776138e-06,2.54354076833824e-06
2.37502097445674e-05,1.00544598585302e-05,7.75542676175129e-06,2.55719639253985e-06
2.36341150838074e-05,1.00537103314086e-05,7.7200804557412e-06,2.57085201674147e-06
2.35180204230473e-05,1.0052960804287e-05,7.68473414973111e-06,2.58450764094308e-06
2.34019257622872e-05,1.00522112771653e-05,7.64938784372101e-06,2.5981632651447e-06
2.32858311015271e-05,1.00514617500437e-05,7.61404153771092e-06,2.61181888934632e-06
2.3169736440767e-05,1.0050712222922e-05,7.57869523170083e-06,2.62547451354793e-06
2.30536417800069e-05,1.00499626958004e-05,7.54334892569074e-06,2.63913013774955e-06
2.29456979438133e-05,1.0055106537251e-05,7.51878838413955e-06,2.66220450343283e-06
2.28377541076196e-05,1.00602503787016e-05,7.49422784258837e-06,2.68527886911611e-06
2.27298102714259e-05,1.00653942201522e-05,7.46966730103718e-06,2.70835323479939e-06
2.26218664352323e-05,1.00705380616028e-05,7.44510675948599e-06,2.73142760048268e-06
