pole,eq_lon90,eq_lon135,eq_lon180
3.65371298911504e-06,1.51902999348591e-06,1.1067822365221e-06,3.01779817956041e-07
3.63230146382029e-06,1.51681373657327e-06,1.10089248960455e-06,3.03843069732212e-07
3.61088993852553e-06,1.51459747966064e-06,1.09500274268701e-06,3.05906321508384e-07
3.58947841323078e-06,1.51238122274801e-06,1.08911299576946e-06,3.07969573284556e-07
3.56806688793603e-06,1.51016496583537e-06,1.08322324885192e-06,3.10032825060727e-07
3.54665536264128e-06,1.50794870892274e-06,1.07733350193437e-06,3.12096076836899e-07
3.52524383734653e-06,1.5057324520101e-06,1.07144375501683e-06,3.1415932861307e-07
3.5060985543109e-06,1.50458046984751e-06,1.06731849163136e-06,3.17443555646008e-07
3.48695327127527e-06,1.50342848768492e-06,1.0631932282459e-06,3.20727782678945e-07
3.46780798823964e-06,1.50227650552233e-06,1.05906796486043e-06,3.24012009711883e-07
3.448662705204e-06,1.50112452335974e-06,1.05494270147497e-06,3.2729623674482e-07
3.42951742216837e-06,1.49997254119714e-06,1.0508174380895e-06,3.30580463777758e-07
3.41037213913274e-06,1.49882055903455e-06,1.04669217470404e-06,3.33864690810695e-07
3.39122685609711e-06,1.49766857687196e-06,1.04256691131858e-06,3.37148917843633e-07
3.37208157306148e-06,1.49651659470937e-06,1.03844164793311e-06,3.4043314487657e-07
3.35293629002585e-06,1.49536461254678e-06,1.03431638454765e-06,3.43717371909508e-07
3.33379100699022e-06,1.49421263038418e-06,1.03019112116218e-06,3.47001598942445e-07
3.31658202314593e-06,1.49373727517151e-06,1.02731405603166e-06,3.5098012713824e-07
3.29937303930164e-06,1.49326191995884e-06,1.02443699090115e-06,3.54958655334035e-07
3.28216405545735e-06,1.49278656474617e-06,1.02155992577063e-06,3.58937183529829e-07
3.26495507161307e-06,1.4923112095335e-06,1.01868286064011e-06,3.62915711725624e-07
3.24774608776878e-06,1.49183585432083e-06,1.0158057955096e-06,3.66894239921418e-07
3.23053710392449e-06,1.49136049910816e-06,1.01292873037908e-06,3.70872768117213e-07
3.2133281200802e-06,1.49088514389549e-06,1.01005166524856e-06,3.74851296313007e-07
3.19611913623591e-06,1.49040978868282e-06,1.00717460011804e-06,3.78829824508802e-07
3.17891015239162e-06,1.48993443347015e-06,1.00429753498753e-06,3.82808352704597e-07
3.16170116854733e-06,1.48945907825748e-06,1.00142046985701e-06,3.86786880900392e-07
3.14615501868058e-06,1.4893739145611e-06,9.99406463851493e-07,3.91078990902173e-07
3.13060886881383e-06,1.48928875086473e-06,9.97392457845976e-07,3.95371100903954e-07
3.11506271894707e-06,1.48920358716835e-06,9.95378451840459e-07,3.99663210905735e-07
3.09951656908032e-06,1.48911842347197e-06,9.93364445834942e-07,4.03955320907517e-07
3.08397041921357e-06,1.48903325977559e-06,9.91350439829425e-07,4.08247430909298e-07
3.06842426934681e-06,1.48894809607921e-06,9.89336433823907e-07,4.1253954091108e-07
3.05287811948006e-06,1.48886293238284e-06,9.8732242781839e-07,4.16831650912861e-07
3.03733196961331e-06,1.48877776868646e-06,9.85308421812873e-07,4.21123760914643e-07
3.02178581974656e-06,1.48869260499008e-06,9.83294415807356e-07,4.25415870916424e-07
3.0062396698798e-06,1.4886074412937e-06,9.81280409801839e-07,4.29707980918205e-07
2.99212854482508e-06,1.48870323465663e-06,9.79843897982792e-07,4.34042847513998e-07
2.97801741977034e-06,1.48879902801956e-06,9.78407386163746e-07,4.3837771410979e-07
2.96390629471562e-06,1.48889482138249e-06,9.76970874344699e-07,4.42712580705583e-07
2.94979516966089e-06,1.48899061474542e-06,9.75534362525653e-07,4.47047447301375e-07
2.93568404460616e-06,1.48908640810835e-06,9.74097850706606e-07,4.51382313897168e-07
2.92157291955143e-06,1.48918220147128e-06,9.7266133888756e-07,4.5571718049296e-07
2.9074617944967e-06,1.48927799483421e-06,9.71224827068513e-07,4.60052047088753e-07
2.89335066944197e-06,1.48937378819714e-06,9.69788315249467e-07,4.64386913684545e-07
2.87923954438724e-06,1.48946958156006e-06,9.68351803430421e-07,4.68721780280337e-07
2.86512841933251e-06,1.48956537492299e-06,9.66915291611374e-07,4.7305664687613e-07
2.85226158415423e-06,1.48969164580495e-06,9.65846200394421e-07,4.77245897488844e-07
2.83939474897595e-06,1.48981791668691e-06,9.64777109177468e-07,4.81435148101557e-07
